Kategoria główna,Kategoria szczegółowa,2023,2024,2025
Przychody z nieodpłatnej działalności pożytku publicznego,Granty,0,"9901,04",21444
Przychody z nieodpłatnej działalności pożytku publicznego,Darczyńcy indywidualni,"11020,8",47244,"82435,35"
Przychody z nieodpłatnej działalności pożytku publicznego,Darczyńcy biznesowi,12666,31043,16887
Przychody z nieodpłatnej działalności pożytku publicznego,Zbiórki publiczne,4630,9100,"31233,58"
Przychody z nieodpłatnej działalności pożytku publicznego,"1,5% podatku (OPP)",0,"6055,6","15162,6"
Przychody z nieodpłatnej działalności pożytku publicznego,Pozostałe darowizny,"2646,22","10366,53","32015,89"
Przychody z odpłatnej działalności pożytku publicznego,,15010,7100,27790
Przychody z działalności gospodarczej,,"72820,47",58045,69935
Pozostałe przychody operacyjne,,"1624,3","1716,93",642
SUMA PRZYCHODÓW FUNDACJI,,"120417,79","180572,1","297545,42"
SUMA KOSZTÓW FUNDACJI,,"115459,1","179315,87","290033,98"
WYNIK FINANSOWY,,"4958,69","1256,23","7511,44"