Kto?,"Wypowiedź (źródła: fanpage Working Dogs, Google opinie lub opinie zebrane przez pracowników/wolontariuszy)"
Izabela,"🐶 Fantastycze miejsce i fantastyczni ludzie! Razem z moim adopsiakiem korzystaliśmy z cyklu bezpłatnych, indywidualnych treningów dla adoptowanych piesków. Co za wspaniała i bardzo użyteczna akcja! Szkoliła nas trenerka z ogromną wiedzą i sercem do zwierząt 😍 Spotkania są dostosowywane do potrzeb zwierzaka i jego opiekuna- co sprawia że szkolenie naprawdę jest ""szyte na miarę"". Naprawdę dużo się dowiedziałam, a mój piesek zaczął wspaniale współpracować 🤩 Polecam wszystkim współpracę z Fundacją, zarówno w ramach akcji Adopsiaki, jak i na innych płaszczyznach- organizując szkolenie w firmie czy warsztaty dla dzieci. I oczywiście zachęcam do jej wspierania, robi kawał dobrej roboty! 💪🏻"
,"Rambo trafił do swojego obecnego domu jako małe, pełne energii szczenię i od początku wychowywał się u boku dwóch dorosłych kotów, które stały się jego zwierzęcym rodzeństwem. Opiekunowie zapewnili mu dużo swobody, różnorodnych aktywności i zdrowych psich kontaktów podczas codziennych spacerów. Dorastając, Rambo mierzył się z typowymi wyzwaniami: lękiem separacyjnym, gonieniem kotów czy narastającą reaktywnością na rowery i samochody. Współpraca z Fundacją Working Dogs pomogła zarówno jemu, jak i opiekunom lepiej się nawzajem zrozumieć, opanować emocje i czerpać radość ze swobodnych spacerów oraz treningów opartych na zabawie. Dziś Rambo to młody gentleman, który czasami nadal mierzy się z wyzwaniami życia miejskiego, ale za to fenomenalnie odnajduje się w swoim kocim stadzie, wzbogaconym o jeszcze jednego malucha."
,"Ketula zgłosiła się do nas z silnym lękiem przed psami po wcześniejszym pogryzieniu jeszcze sprzed adopcji. Na widok każdego psa reagowała piskiem, szczekaniem i dużym stresem, a spacery były niezwykle trudne zarówno dla niej, jak i jej opiekunów. W ramach projektu AdoPsiaki Ewelina i Łukasz rozpoczęli spacery ze spokojnymi psami i stopniowe spotkania w małych grupach poza miastem. W międzyczasie okazało się, że Ketula zmagała się również z problemami ortopedycznymi i jeszcze będąc w projekcie przeszła operację, która znacząco poprawiła jej komfort i pewność siebie. Dziś Ketula jest zdecydowanie spokojniejsza i lepiej radzi sobie z emocjami oraz obecnością innych psów, pokazując tym samym, jak wiele dla psa może zmienić cierpliwość, spokój i dobre doświadczenia."
Marta,"Chcielibyśmy polecić program Adopsiaki, dzięki któremu Szogun, pod okiem Pani Moniki, robił postępy w kontaktach z innymi pieskami. Dostaliśmy cenne wskazówki do samodzielnej pracy"
Mateusz,"Cześć.
Jeśli masz Adopsiaka, bardzo go kochasz i chcesz zaliczyć wspaniałą przygodę rozwoju pod okiem znakomitych speców? Świetnie! Dobry kierunek 😉 Byliśmy z Rastim członkami projektu Adopsiaki i z dużą łezką w oku patrzymy na nasze osiągnięcia implementowane zgodnie z radami od specjalistki z WorkingDogs 😉 
Brawo! Robicie super przygody, rzeczy oraz wędrówki w lepsze żyćko dla piesków i ich ludzkich przyjaciół 😉
🦮🐶🐕‍🦺 Brawo!"
Oktawia,"Polecamy z całego serca fundację Working Dogs, a szczególnie trenerkę Monikę – dzięki jej wsparciu nasz adoptowany Dekor przeszedł świetny trening behawioralny i zrobił ogromne postępy. 🐾❤️"
Łukasz,"Adopsiaki to niezwykły program prowadzony przez wspaniałych ludzi  🙂Wyjątkowa szansa dla wszystkich adopciaków. Dużo skorzystaliśmy z Amorem, wiele się nauczyliśmy pod kierunkiem Agaty i bardzo poprawiła nam się komunikacja. Dziękujemy!"
Joanna,"W naszym przedszkolu odbyło się bardzo ciekawe i wartościowe spotkanie z paniami z fundacji zajmującej się pomocą psom. Panie przyjechały razem ze swoimi czworonożnymi podopiecznymi i w niezwykle przystępny sposób opowiadały dzieciom, jak należy traktować psy, jak się nimi opiekować, a także czego nie wolno robić w kontakcie ze zwierzętami.
Dzieci z ogromnym zainteresowaniem słuchały opowieści i zadawały wiele pytań. Miały również okazję zobaczyć z bliska psy i nauczyć się, jak nawiązywać z nimi bezpieczny kontakt. Spotkanie nie tylko dostarczyło przedszkolakom wiedzy, ale także uwrażliwiło je na potrzeby zwierząt i pokazało, że każdy pies zasługuje na szacunek, troskę i odpowiedzialne traktowanie.
Zajęcia były prowadzone w sposób dostosowany do wieku dzieci – z dużą cierpliwością, spokojem i zaangażowaniem. Była to wspaniała lekcja empatii, która na długo zostanie w pamięci dzieci.
Serdecznie dziękujemy paniom z fundacji za wizytę i inspirujące spotkanie!"
,Wraz z Moria serdecznie dziękujemy Fundacji i naszej trenerce Agacie za możliwość skorzystania z projektu Adopsiaki. Wasze wsparcie jest nieocenione
,"Working Dogs odwiedziło szkołę syna. Byliśmy akurat świeżo po adopcji naszej suni i zdecydowaliśmy się na współpracę. To był strzał w 10.
Świetna trenerka, która bardzo nam pomogła. Treningi, w których uczestniczyli wszyscy domownicy, każdy wiedział co ma robić i jak postępować. To bardzo ważne aby pomóc swojemu pupilowi i mieć fachowe wsparcie. 
Bardzo polecam 🙂"
"Monika, koordynatorka projektu ""Mój Przyjaciel Pies""","60 dzieci nauczyło się, jak bezpiecznie i z szacunkiem podchodzić do psów. To nie tylko profilaktyka ugryzień. To budowanie empatii i szacunku
do zwierząt od najmłodszych lat."
"Przedszkole Nr 74 ""Mały Piekarczyk""",Dziękujemy pani Dominice za wspaniałe warsztaty w naszym przedszkolu. Było super👍
Niepubliczne Przedszkole Anglojęzyczne Chatka Małolatka,"Dziękujemy Fundacji za ogrom pracy i serca, które wkładają w edukację najmłodszych. 
Dziękujemy Pani Julce za wspaniale przeprowadzone warsztaty. 
To było nie tylko ciekawe, ale i niezwykle wartościowe spotkanie, które z pewnością zostanie w pamięci naszych przedszkolaków na długo. Dzieci miały okazję nauczyć się, jak bezpiecznie obchodzić się z psami, poznać ich potrzeby i język, a także dowiedzieć się, jak unikać sytuacji, które mogłyby prowadzić do pogryzień.
Razem tworzymy bezpieczniejszy świat dla dzieci i zwierząt!"
Przedszkole w Domaniewicach,"W imieniu  pani dyrektor i grona pedagogicznego bardzo dziękujemy za odwiedzenie naszej placówki  Publiczne Przedszkole w Domaniewicach i przybliżenie  zawodu jakim jest trener  i przewodnik  psów.Pokazałyście Panie  jak bardzo jesteście  zaangażowane w swoją pracę a zarazem pasję.Dzieci słuchały z wielkim  zainteresowaniem, zadawały pytania i chętnie angażowały się w rozmaite zadania.
Bardzo  ciekawa edukacyjna lekcja.
❤DZIĘKUJEMY❤"
Przedszkole nr 95 i Szkoła Podstawowa nr 68 we Wrocławiu,"Dziękujemy pani Dominice za przeprowadzenie cudownych warsztatów dla dzieci oraz fundacji Working Dogs za tak wspaniałą inicjatywę! Pani Dominika prowadziła warsztaty u moich dzieci, zarówno w przedszkolu, jak i w szkole. Program zajęć był dopasowany do wieku uczestników. Pani Dominika w profesjonalny sposób przekazała dzieciom wiedzę oraz wniosła cudowną energię, co zachęciło dzieci do aktywnego uczestniczenia w zajęciach. Wraz z Aurą tworzą niesamowity duet! Dzieci dowiedzialy się ciekawych rzeczy, np. tego jakie kolory lubią psy, dowiedziały się jak należy się zajmować psem oraz jak bezpiecznie zachowywać się w jego obecności. Mali, ciekawi świata ludzie, mogli zadawać pytania i otrzymali rzetelne odpowiedzi, a jak wiadomo, dzieci pytają o różne, skomplikowane sprawy 😃 
Jeszcze raz dziękujemy ❤️"
Przedszkole Miejskie Nr 13 w Pruszkowie,"Przedszkolaki były zachwycone spotkaniem w trakcie którego dowiedziały się ważnych informacji o psach. Warsztaty przeprowadzone w profesjonalny sposób, ciekawe, warte polecenia. Bardzo dziękujemy"
Justyna,"Serdecznie dziękujemy fimie Working Dogs za cudowne warsztaty. Podejście do dzieci cudowne, wszystko co najważniejsze w temacie bezpieczpieczeństwa- wytłumaczone. Ogrom wiedzy w pigułce i oczywiście wspaniali, fanstastyczni czworonożni goście ❤️"
Arkadiusz,"Super profesjonalne podejście, Pani Monika bardzo cierpliwa do nas😆wszystko wytłumaczy i wyjaśni. Bardzo dobre techniki nauki dla nas i dla pieska, co skutkuje świetnymi wynikami. Lepiej rozumiemy psi język i jak porozumiewać się z nasza kruszynka. Jesteśmy bardzo zadowoleni ze współpracy i polecamy każdemu."
Adrian,"The foundation helped us to work with our reactive rescued dog, Pajtek.
Trainer Monika was always open and willing to support us and teach us how to handle Pajtek in day-to-day and difficult situations.
I and my wife highly recommend Working Dogs foundation.
Thanks for your great support!"
"Jolanta, Przedszkole Miejskie Nr 3 w Ozorkowie","Serdecznie dziękujemy trenerowi i wolontariuszom Working Dogs za organizację warsztatów dla dzieci z Przedszkola Miejskiego Nr 3 w Ozorkowie. Polecam organizatorów spotkania edukacyjnego dla najmłodszych. Komunikatywność, łatwy przekaz, zaangażowanie, miłość do zwierząt -oto cechy prowadzących, którzy z pełną profesją podchodzą do realizacja zadania kierowanego do dzieci."
Joanna,"Cudowni ludzie robiący niesamowite rzeczy, zachęcający do nauczenia się psiego języka i dobrego porozumienia. Mój pies i ja dokonujemy przemiany i zawdzięczamy to właśnie Working Dogs.
Empatia i wiedza są kluczowe."
Katarzyna,"Bardzo duża wiedza i profesjonalizm. Dzieci, nauczyciele i rodzice są bardzo zadowoleni ze spotkań. Pracownicy bardzo dobrze traktują czworonogi. Oby więcej takich firm na rynku:) pozdrawiam i do zobaczenia:)"
,pozdrawiam i do zobaczenia:)